ORGANIZATION_CODE,template_name,item_SEGMENT1,DESCRIPTION,PRIMARY_UOM_CODE,PURCHASING_ITEM_FLAG,PURCHASING_ENABLED_FLAG,PROCESS_FLAG
SIO,@Product Family,113369,Johnsons Baby Milk Lotion DT 200ml,ECH,Y,Y,N
SIO,@Product Family,113121,Johnsons Baby Milk Soap 50g,ECH,Y,Y,N
SIO,@Product Family,113108,Johnsons Baby Milk Soap 75g,ECH,Y,Y,N
SIO,@Product Family,113403,Johnsons Baby Oil (Vitamin E) 100ml,ECH,Y,Y,N
SIO,@Product Family,113402,Johnsons Baby Oil -Regular 50ml,ECH,Y,Y,N
SIO,@Product Family,113380,Johnsons Baby Pink Lotion 200ml,ECH,Y,Y,N
SIO,@Product Family,123598,Johnsons Baby Pink Lotion 50ml (20% Off),ECH,Y,Y,N
SIO,@Product Family,113362,Johnsons Baby Pink Lotion DT 100ml,ECH,Y,Y,N
SIO,@Product Family,113361,Johnsons Baby Pink Lotion DT 50ml,ECH,Y,Y,N
SIO,@Product Family,113207,Johnsons Baby Powder 100g,ECH,Y,Y,N
SIO,@Product Family,113208,Johnsons Baby Powder 200g,ECH,Y,Y,N
SIO,@Product Family,113215,Johnsons Baby Powder -50g,ECH,Y,Y,N
SIO,@Product Family,190021,Johnsons Baby Shampoo - Soft n Shiny -100ml,ECH,Y,Y,N
SIO,@Product Family,190022,Johnsons Baby Shampoo - Soft n Shiny -200ml,ECH,Y,Y,N
SIO,@Product Family,113305,Johnsons Baby Shampoo -Gold 100ml,ECH,Y,Y,N
SIO,@Product Family,113349,Johnsons Baby Shampoo -Gold 60ml,ECH,Y,Y,N
SIO,@Product Family,190020,Johnsons Baby Shampoo -Soft n Shiny 50ml,ECH,Y,Y,N
SIO,@Product Family,115780,Johnsons Baby Shampoo-Gold 200ml,ECH,Y,Y,N
SIO,@Product Family,115716,Johnsons Baby Skincare Wipes -20s,ECH,Y,Y,N
SIO,@Product Family,113381,Johnsons Baby Top to Toe -50ml,ECH,Y,Y,N
SIO,@Product Family,115781,Johnsons Baby Top to Toe Bath 200ml,ECH,Y,Y,N
SIO,@Product Family,115782,Johnsons Baby Top to Toe wash 500ml,ECH,Y,Y,N
SIO,@Product Family,119032,Johnsons PH 5.5 Face Wash,ECH,Y,Y,N
SIO,@Product Family,119031,Johnsons PH 5.5 Face Wash 50ml,ECH,Y,Y,N
SIO,@Product Family,109002,Jones Tea -400g,ECH,Y,Y,N
SIO,@Product Family,116611,Kekulu 5 in 1 Pack Save Rs 15 -350g,ECH,Y,Y,N
SIO,@Product Family,171842,Kekulu Baby Cologne 100ml - Aloevera,ECH,Y,Y,N
SIO,@Product Family,171841,Kekulu Baby Cologne 100ml - Aruda,ECH,Y,Y,N
SIO,@Product Family,171843,Kekulu Baby Cologne 100ml - Hibiscus,ECH,Y,Y,N
SIO,@Product Family,118004,Kekulu Baby Cologne -50ml,ECH,Y,Y,N
SIO,@Product Family,171839,Kekulu Baby Soap 70g - Aloevera,ECH,Y,Y,N
SIO,@Product Family,171838,Kekulu Baby Soap 70g - Aruda,ECH,Y,Y,N
SIO,@Product Family,171840,Kekulu Baby Soap 70g - Hibiscus,ECH,Y,Y,N
SIO,@Product Family,171847,Kekulu Junior Toothbrush,ECH,Y,Y,N
SIO,@Product Family,171844,Kekulu Soap 5 in 1 - Aruda,ECH,Y,Y,N
SIO,@Product Family,171846,Kekulu Soap 5 in 1 - Hibiscus,ECH,Y,Y,N
SIO,@Product Family,171845,Kekulu Soap 5 in 1 -Alovera,ECH,Y,Y,N
SIO,@Product Family,113125,Kekulu Soap -70g,ECH,Y,Y,N
SIO,@Product Family,114383,Kekulu Tooth Paste -40g,ECH,Y,Y,N
SIO,@Product Family,113253,Khomba Baby Cologne -100ml,ECH,Y,Y,N
SIO,@Product Family,113254,Khomba Baby Cologne -50ml,ECH,Y,Y,N
SIO,@Product Family,113124,Khomba Baby Cream - Pink -100ml,ECH,Y,Y,N
SIO,@Product Family,113116,Khomba Baby Cream -100g,ECH,Y,Y,N
SIO,@Product Family,113440,Khomba Baby Gift Pack -EA,ECH,Y,Y,N
SIO,@Product Family,172071,Khomba Baby Pirickly Heat Powder 100g,ECH,Y,Y,N
SIO,@Product Family,113201,Khomba Baby Powder -100g,ECH,Y,Y,N
SIO,@Product Family,113114,Khomba Baby Shampoo -100g,ECH,Y,Y,N
SIO,@Product Family,113101,Khomba Baby Soap - Pink -70g,ECH,Y,Y,N
SIO,@Product Family,113102,Khomba Baby Soap - White -70g,ECH,Y,Y,N
SIO,@Product Family,113119,Khomba Baby Soap (Floral)- 70g 4 in 1 Pack,ECH,Y,Y,N
SIO,@Product Family,113118,Khomba Baby Soap 4 in 1 (White) -EA,ECH,Y,Y,N
SIO,@Product Family,113282,Kohomba Baby Cologne - Pink 100ml,ECH,Y,Y,N
SIO,@Product Family,113283,Kohomba Baby Cologne - Pink 50ml,ECH,Y,Y,N
SIO,@Product Family,172467,Kohomba Baby Soap - Venivel 90g,ECH,Y,Y,N
SIO,@Product Family,172069,Little Princess Cologne - Jade Garden100ml,ECH,Y,Y,N
SIO,@Product Family,172068,Little Princess Cologne - Rose Petal 100ml,ECH,Y,Y,N
SIO,@Product Family,172070,Little Princess Cologne - Sea Spray 100ml,ECH,Y,Y,N
SIO,@Product Family,123072,Morison Baby Diaper - L (Buy 2 Get Rs.30.00 Off),ECH,Y,Y,N
SIO,@Product Family,123622,Morison Baby Diaper - L (Buy 3 Get 1 Free),ECH,Y,Y,N
